{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s4/srabza.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 56 56 56 56 56 56 56 56 56 56 40 40 63 40 40 93 93 15 15 15 7 7 87 9 9 9 74 2 60 52 52 25 25 9 9 9 1 85 85 53 62 9 74 2 66 66 66 47 47 11 45 45 45 64 64 29 28 28 28 28 87 53 53 53 0 0 0 52 52 25 25 25 97 97 97 97 97 14 76 73 73 99 27 89 89 87 87 38 38 38 38 44 80 81 81 81 81 81 83 83 83 83 83 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 22 22 8 8 8 8 40 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s29/sgwa3s.wav', 'hubert': '71 71 71 71 71 12 12 12 4 4 4 4 4 12 67 67 67 67 54 40 63 63 93 93 6 15 15 15 7 7 87 87 9 9 9 74 74 2 31 60 60 92 63 78 78 78 52 52 69 25 25 11 45 45 64 64 64 64 64 44 80 18 81 84 84 96 55 55 67 67 67 54 54 40 63 93 14 14 76 53 62 99 99 99 37 37 37 86 94 94 94 94 32 32 32 64 65 65 3 3 3 3 99 60 60 52 52 25 25 11 45 45 64 64 65 6 6 36 36 36 36 49 7 7 23 69 69 69 69 69 69 69 69 69 44 81 81 81 83 83 83 83 83 83 83 22 22 63 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s29/lbin5a.wav', 'hubert': '71 71 71 71 71 12 12 12 63 63 12 12 56 56 63 63 40 40 40 40 63 93 93 93 93 90 90 90 35 87 94 94 94 32 32 64 64 1 66 27 27 27 47 47 90 90 90 35 35 69 69 69 69 69 69 69 69 69 69 81 10 10 10 84 10 10 40 40 40 40 40 63 86 86 86 53 53 53 44 80 80 37 37 86 86 38 38 38 44 44 80 80 18 18 65 3 3 3 3 3 3 24 24 24 13 13 13 13 58 58 58 32 65 77 77 77 77 73 1 1 27 89 89 87 87 94 94 94 94 32 32 32 64 42 44 81 81 81 10 83 83 83 83 83 83 83 10 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s4/sbwh5p.wav', 'hubert': '71 71 71 71 71 12 12 12 12 63 12 12 12 12 12 34 34 34 34 34 34 12 67 67 67 54 54 40 63 63 93 93 15 15 15 7 7 87 9 9 9 74 2 66 66 66 27 47 90 90 35 69 69 69 69 69 70 14 14 76 76 99 99 82 87 87 94 94 32 32 64 74 2 21 21 95 95 60 3 3 3 77 24 24 24 13 13 13 13 13 58 58 58 32 32 65 65 3 3 3 99 92 27 63 47 59 90 90 35 35 11 11 11 64 64 64 64 64 64 29 29 6 15 15 15 15 41 41 41 41 10 10 83 83 83 83 83 83 83 4 4 4 4 4 4 4 4 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s1/lbbe3a.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 12 12 12 56 56 4 4 4 12 12 12 12 4 12 67 54 54 40 40 40 40 93 93 93 93 90 35 94 94 32 45 64 74 74 27 27 47 90 90 35 69 69 69 69 69 69 60 74 27 27 47 47 24 13 13 58 58 37 37 86 86 87 9 43 3 3 3 3 77 23 80 26 87 11 11 11 64 89 89 89 42 42 42 42 80 81 81 81 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s4/lgal8a.wav', 'hubert': '71 71 71 71 12 12 12 12 12 12 12 12 12 12 67 67 67 67 54 54 54 40 93 93 90 90 35 87 94 32 32 64 1 27 78 78 52 52 25 11 45 45 64 64 80 26 85 73 62 74 31 31 87 87 91 91 17 17 90 35 35 35 94 94 32 32 32 64 65 74 27 36 36 23 23 73 1 89 89 87 87 38 38 38 38 44 80 80 81 81 81 81 81 83 83 83 83 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 63 63 4 4 40 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s29/lrao4p.wav', 'hubert': '71 71 71 71 12 12 12 12 12 12 4 12 55 67 67 67 67 67 54 54 40 40 63 93 93 93 93 90 90 35 87 94 94 94 32 32 64 64 60 60 70 70 52 52 25 25 87 91 91 91 38 9 9 9 1 1 31 31 10 37 37 86 86 9 9 9 74 27 31 31 37 37 37 86 87 9 97 97 69 69 65 65 3 3 3 3 3 3 48 48 48 48 48 48 19 19 19 65 74 27 27 47 47 59 59 35 35 11 11 11 11 64 64 64 64 64 64 65 6 15 15 15 15 41 41 41 41 83 83 84 63 22 22 22 22 22 22 22 22 22 22 22 63 63 63 63 20 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s1/swih6n.wav', 'hubert': '71 71 71 71 12 12 12 40 40 63 93 93 6 49 36 36 7 87 87 9 9 9 2 2 60 70 14 14 24 24 13 58 58 32 1 31 31 23 23 26 26 26 94 94 32 32 64 74 21 21 49 36 36 7 7 53 53 74 89 89 6 49 92 92 26 26 87 42 42 17 17 81 81 81 81 83 83 83 83 83 83 83 83 4 4 4 4 4 4 4 4 4 4 4 22 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 56 56 56 56 56 56 56 56 56 40 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s4/lbaq1n.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 34 34 34 34 67 67 67 67 67 54 54 54 40 93 93 93 90 90 35 94 94 32 32 64 16 66 66 47 90 90 35 69 69 69 76 76 76 73 74 74 2 2 27 89 59 59 98 98 98 69 69 69 70 70 70 14 14 24 68 68 68 44 80 80 18 18 26 26 26 87 87 91 91 91 58 58 42 42 81 81 81 81 81 83 83 83 83 83 83 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 63 40 4 4 4 20 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s2/lwbf4a.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 39 39 39 39 67 67 67 67 54 54 54 40 63 40 93 93 90 90 35 35 94 32 32 60 60 70 70 70 14 14 24 24 61 13 13 58 58 32 65 6 36 49 92 92 63 47 24 24 13 58 58 32 37 87 38 38 44 16 18 18 3 3 3 3 3 3 48 48 48 48 48 48 46 46 52 25 73 73 73 1 27 89 89 87 94 94 94 94 32 32 32 88 81 81 81 81 81 83 83 83 83 83 83 83 83 83 83 4 4 4 22 22 22 22 22 4 4 4 4 4 4 4 4 8 8 8 8 8 8 8 63 63 63 4 8 40 40 20 20', 'duration': 0.0}
{'audio': '/ssd_scratch/cvit/neha/GRID/audio/trainval/s2/sbbh4a.wav', 'hubert': '71 71 71 71 71 12 12 12 12 12 12 12 4 4 4 4 4 4 63 4 4 40 40 40 93 93 6 36 36 7 7 87 9 9 1 74 2 66 66 27 27 47 90 90 35 35 11 69 69 60 66 27 47 47 24 13 13 58 58 58 87 94 94 94 32 32 64 74 21 21 95 95 60 60 3 3 3 3 48 48 48 48 46 46 46 25 25 73 1 1 27 89 89 87 94 94 94 94 32 32 32 64 81 81 81 81 10 83 83 83 83 83 83 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 8 8 8 8 8 8 8 8 8 8 8 63 8 8 8 8 56 56 20 20 20 20', 'duration': 0.0}
